id_alma,nombre,pecado_capital,nivel_corrupcion,fecha_condena,dimension_origen,estado
1,Steven Hamilton,Ira,48,1893-12-16,Abismo,en proceso de tortura
2,Kristen Joseph,Gula,1,1842-08-01,Inframundo,redimida
3,Janice Soto,Pereza,91,1960-05-27,Limbo,activa
4,Walter Garcia,Soberbia,18,1918-08-02,Abismo,redimida
5,Thomas Bishop,Ira,74,1882-12-29,Pandemonium,activa
6,Kelly Miller,Soberbia,34,1868-03-03,Tierra,en proceso de tortura
7,Bianca Santana,Envidia,19,1897-10-02,Pandemonium,en proceso de tortura
8,Omar Hood,Envidia,78,1827-09-21,Inframundo,en proceso de tortura
9,Philip Scott,Lujuria,89,1888-07-24,Limbo,redimida
10,Andrew Simmons,Pereza,11,1894-01-02,Limbo,activa
11,Nicole Roth,Gula,5,1950-11-18,Pandemonium,redimida
12,Kim Barnes,Soberbia,67,1960-06-06,Tierra,activa
13,Vincent Erickson,Pereza,94,1931-10-14,Tierra,activa
14,Steven Harrison,Soberbia,47,1888-07-14,Pandemonium,en proceso de tortura
15,Jodi Butler,Pereza,59,1946-01-23,Abismo,activa
16,Joshua Reed,Ira,4,1978-07-27,Abismo,en proceso de tortura
17,Nicole Lawrence,Lujuria,64,1944-05-11,Limbo,en proceso de tortura
18,James Lewis,Pereza,14,1899-12-22,Sector 7G,en proceso de tortura
19,Kayla Padilla,Pereza,68,1933-03-08,Limbo,en proceso de tortura
20,Wanda Schaefer,Ira,97,1949-11-25,Pandemonium,activa
21,Jeffery Fisher,Ira,88,2011-05-08,Sector 7G,redimida
22,Derrick Williams,Pereza,20,1996-03-25,Abismo,en proceso de tortura
23,Jeffrey Ramirez,Ira,58,2022-09-08,Limbo,redimida
24,Alexander Davis,Ira,57,1933-10-01,Sector 7G,en proceso de tortura
25,Robert Hartman,Lujuria,20,2006-09-06,Limbo,activa
26,Paul Cook,Gula,44,1959-08-22,Tierra,redimida
27,Samantha Bates,Envidia,22,1909-12-30,Inframundo,redimida
28,Jennifer Stone,Pereza,35,1986-01-24,Abismo,en proceso de tortura
29,Mrs. Andrea Anderson,Ira,27,1865-07-18,Limbo,en proceso de tortura
30,Spencer Bird,Envidia,69,1992-02-21,Pandemonium,redimida
31,Kyle Savage,Gula,73,2020-02-15,Sector 7G,en proceso de tortura
32,Haley Wright,Pereza,27,2003-12-28,Tierra,activa
33,Charles West,Ira,81,1907-08-13,Tierra,activa
